Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,1268,1268,1268,1691,2255,2255,4510,4440,4440,6575,6575,6575
Reserves,31188,32754,35135,37614,39424,43749,44758,48742,59674,58352,70422,78422
Borrowings,18537,18291,9052,6553,3876,2224,6912,7873,9216,17816,21794,21595
Other Liabilities,15872,17355,13608,12433,15798,20199,18754,19975,23254,25062,25944,26556
Total Liabilities,66865,69669,59063,58291,61353,68426,74934,81030,96584,107805,124735,133149
Fixed Assets,27779,33976,29946,30092,30480,32700,38230,41160,44572,49697,55188,58836
CWIP,18490,13806,3688,4126,5938,9738,11666,13400,15490,16646,23627,27421
Investments,1282,1272,9844,10125,10452,10722,9893,13058,16408,17248,21910,22765
Other Assets,19314,20615,15584,13948,14482,15267,15145,13413,20114,24214,24010,24128
Total Assets,66865,69669,59063,58291,61353,68426,74934,81030,96584,107805,124735,133149
