Financial_Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,3681.0,3686.0,3815.0,4535.0,5765.0,6485.0,4941.0,7710.0,14133.0,14000.0,14928.0
Expenses,2887.0,2910.0,2851.0,3409.0,4506.0,4949.0,3446.0,5816.0,12089.0,11612.0,12955.0
Operating Profit,794.0,775.0,964.0,1126.0,1259.0,1536.0,1495.0,1894.0,2044.0,2388.0,1973.0
OPM,22.0,21.0,25.0,25.0,22.0,24.0,30.0,25.0,14.0,17.0,13.0
Other Income,31.0,78.0,108.0,153.0,213.0,293.0,240.0,401.0,469.0,596.0,695.0
Interest,30.0,10.0,1.0,2.0,2.0,20.0,22.0,25.0,27.0,28.0,10.0
Depreciation,149.0,156.0,167.0,181.0,201.0,252.0,290.0,317.0,363.0,414.0,476.0
Profit before tax,645.0,687.0,904.0,1096.0,1269.0,1556.0,1422.0,1953.0,2122.0,2542.0,2183.0
Tax,33.0,33.0,33.0,34.0,34.0,20.0,18.0,23.0,23.0,22.0,22.0
Net Profit,448.0,458.0,606.0,722.0,842.0,1249.0,1173.0,1502.0,1640.0,1983.0,1713.0
EPS in Rs,3.2,3.27,4.33,5.16,6.02,8.92,8.38,10.73,11.71,14.18,12.27
Dividend Payout,19.0,18.0,20.0,19.0,20.0,16.0,21.0,26.0,56.0,32.0,90.0
