Financial_Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,1671.0,1610.0,1538.0,1571.0,1569.0,1613.0,1666.0,1786.0,1847.0,1964.0
Expenses,1415.0,1221.0,1017.0,1092.0,1120.0,1218.0,1229.0,1373.0,1523.0,1570.0
Operating Profit,256.0,390.0,521.0,479.0,449.0,395.0,437.0,413.0,325.0,394.0
OPM,15.0,24.0,34.0,30.0,29.0,24.0,26.0,23.0,18.0,20.0
Other Income,32.0,34.0,39.0,44.0,48.0,44.0,36.0,47.0,42.0,42.0
Interest,2.0,2.0,3.0,2.0,3.0,6.0,3.0,3.0,3.0,4.0
Depreciation,59.0,64.0,62.0,66.0,68.0,81.0,83.0,85.0,91.0,93.0
Profit before tax,227.0,357.0,496.0,454.0,426.0,352.0,386.0,372.0,272.0,339.0
Tax,24.0,25.0,26.0,25.0,26.0,26.0,25.0,24.0,19.0,27.0
Net Profit,172.0,269.0,368.0,338.0,317.0,261.0,289.0,284.0,221.0,247.0
EPS in Rs,17.42,27.21,37.3,34.27,32.11,26.38,29.24,28.7,22.4,25.01
Raw PDF,,,,,,,,,,
