Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,601,601,601,601,802,757,1084,1084,1084,1084,1084,1084,1627
Reserves,18648,20080,20900,24577,28718,28273,27890,22126,22582,29478,37397,47255,51050
Borrowings,1261,10146,9070,9722,14184,12329,15114,12743,19718,16721,18832,24040,27821
Other Liabilities,4567,4571,6549,5344,7600,7353,8430,20981,12151,13846,16866,20114,21375
Total Liabilities,25077,35398,37120,40244,51303,48712,52518,56936,55535,61129,74179,92494,101873
Fixed Assets,5130,11201,12676,8678,10550,12320,12471,15955,15969,16805,18098,20520,19308
CWIP,1889,2816,3755,1812,1894,988,1267,2368,3171,5900,11953,20028,24768
Investments,1888,5223,5573,15052,27461,26657,26451,25718,24010,27099,27924,34437,36597
Other Assets,16170,16158,15116,14701,11398,8747,12329,12894,12385,11325,16204,17509,21200
Total Assets,25077,35398,37120,40244,51303,48712,52518,56936,55535,61129,74179,92494,101873
