Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,9968.0,9690.0,9978.0,9821.0,9566.0,10698.0,13780.0,18612.0,17616.0,25906.0,36084.0,31749.0,32851.0
Expenses,5359.0,6044.0,6346.0,6235.0,6446.0,6770.0,8190.0,13297.0,11928.0,15405.0,20829.0,19245.0,21370.0
Operating Profit,4609.0,3646.0,3633.0,3586.0,3120.0,3928.0,5591.0,5315.0,5689.0,10500.0,15255.0,12504.0,11481.0
OPM,46.0,38.0,36.0,37.0,33.0,37.0,41.0,29.0,32.0,41.0,42.0,39.0,35.0
Other Income,1530.0,1589.0,1258.0,1198.0,793.0,1812.0,1251.0,2147.0,1185.0,1254.0,737.0,-566.0,2212.0
Interest,3.0,71.0,349.0,389.0,441.0,554.0,624.0,647.0,660.0,940.0,901.0,964.0,1059.0
Depreciation,848.0,822.0,865.0,1070.0,1180.0,1327.0,1541.0,1786.0,1844.0,1824.0,1947.0,2129.0,2361.0
Profit before tax,5288.0,4342.0,3677.0,3324.0,2292.0,3859.0,4677.0,5030.0,4369.0,8990.0,13144.0,8846.0,10272.0
Tax,32.0,33.0,32.0,37.0,30.0,29.0,31.0,0.0,5.0,25.0,25.0,21.0,
Net Profit,3592.0,2990.0,2608.0,2080.0,1597.0,2735.0,3238.0,5005.0,4146.0,6719.0,9854.0,6980.0,7876.0
EPS in Rs,19.92,16.58,14.46,11.53,8.85,16.06,19.91,28.9,21.69,34.56,53.66,38.95,45.38
Dividend Payout,50.0,43.0,46.0,46.0,72.0,42.0,34.0,24.0,15.0,27.0,25.0,25.0,
