Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,4278,4278,4278,4278,6417,6417,6290,6290,6290,6290,6290,6290,6290
Reserves,148250,167874,176177,193536,187969,197602,210644,198814,214691,253213,274357,330780,345986
Borrowings,20686,49113,53944,45500,80029,106550,107742,129473,133187,121986,142255,153181,191489
Other Liabilities,80211,103711,103448,98459,170111,148664,167667,173787,187580,201771,190212,219523,213848
Total Liabilities,253424,324976,337847,341772,444525,459232,492343,508364,541748,583260,613115,709774,757614
Fixed Assets,119644,155923,179933,166277,211125,226058,230391,243892,243746,254402,250819,298454,350438
CWIP,53385,72034,63393,57668,59042,61512,69056,83832,100309,106719,113945,116022,91497
Investments,2128,4746,4749,33387,70746,67335,66909,56755,60320,66642,78873,102207,106077
Other Assets,78267,92273,89771,84440,103612,104328,125987,123884,137372,155496,169478,193091,209602
Total Assets,253424,324976,337847,341772,444525,459232,492343,508364,541748,583260,613115,709774,757614
