Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,161984.0,174121.0,160923.0,124036.0,282506.0,322706.0,421624.0,396728.0,303849.0,491246.0,632291.0,591396.0,659221.0
Expenses,118482.0,124991.0,118610.0,84901.0,229702.0,265817.0,346805.0,344623.0,254375.0,411373.0,556764.0,488561.0,569597.0
Operating Profit,43501.0,49130.0,42312.0,39135.0,52804.0,56889.0,74819.0,52105.0,49473.0,79874.0,75527.0,102835.0,89625.0
OPM,27.0,28.0,26.0,32.0,19.0,18.0,18.0,13.0,16.0,16.0,12.0,17.0,14.0
Other Income,5488.0,7170.0,5955.0,1067.0,12724.0,10429.0,9567.0,982.0,11271.0,6797.0,-30.0,12982.0,12739.0
Interest,484.0,624.0,2864.0,3766.0,3591.0,4999.0,5837.0,7489.0,5079.0,5696.0,7889.0,10194.0,13717.0
Depreciation,11763.0,16262.0,18033.0,16384.0,20219.0,23112.0,23704.0,26635.0,25538.0,26883.0,24557.0,28763.0,34026.0
Profit before tax,36742.0,39413.0,27370.0,20052.0,41718.0,39208.0,54846.0,18962.0,30126.0,54091.0,43051.0,76860.0,54620.0
Tax,35.0,32.0,35.0,35.0,30.0,34.0,38.0,40.0,29.0,9.0,24.0,26.0,
Net Profit,23994.0,26665.0,17703.0,13102.0,29169.0,26068.0,33938.0,11456.0,21360.0,49294.0,32778.0,57101.0,40999.0
EPS in Rs,18.87,20.65,14.29,10.03,19.03,17.23,24.28,8.59,12.96,36.19,28.17,39.13,31.01
Dividend Payout,34.0,31.0,44.0,56.0,40.0,38.0,29.0,58.0,28.0,29.0,40.0,31.0,
