Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,145673.0,155949.0,182894.0,168656.0,169213.0,164067.0,163824.0,147614.0,167357.0,166771.0,168025.0,158329.0,166097.0
Expenses,124306.0,131900.0,164041.0,155311.0,147346.0,143527.0,133029.0,119534.0,146996.0,143545.0,146398.0,137834.0,141819.0
Operating Profit,21367.0,24049.0,18853.0,13346.0,21867.0,20539.0,30795.0,28080.0,20360.0,23225.0,21627.0,20495.0,24278.0
OPM,15.0,15.0,10.0,8.0,13.0,13.0,19.0,19.0,12.0,14.0,13.0,13.0,15.0
Other Income,2882.0,607.0,1619.0,2315.0,2807.0,-4786.0,3069.0,3673.0,4299.0,2549.0,3615.0,4163.0,2411.0
Interest,1388.0,1491.0,1640.0,1993.0,2188.0,2068.0,2364.0,3243.0,3203.0,2683.0,3616.0,3749.0,3670.0
Depreciation,6850.0,7380.0,6611.0,4443.0,6784.0,6744.0,7078.0,7079.0,7494.0,7863.0,8456.0,8209.0,9497.0
Profit before tax,16011.0,15784.0,12221.0,9224.0,15702.0,6941.0,24422.0,21431.0,13962.0,15228.0,13170.0,12700.0,13522.0
Tax,27.0,24.0,30.0,26.0,26.0,7.0,27.0,25.0,25.0,24.0,26.0,22.0,28.0
Net Profit,11637.0,12061.0,8581.0,6830.0,11665.0,6478.0,17893.0,16171.0,10511.0,11527.0,9810.0,9878.0,9784.0
EPS in Rs,8.69,8.39,9.49,6.6,9.13,3.57,11.64,10.89,8.51,8.03,7.96,8.17,6.85
Raw PDF,,,,,,,,,,,,,
