Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,29,29,29,59,59,59,59,59,59,59,59,59,58
Reserves,2577,3721,5127,7229,9313,11622,13832,16766,21871,24517,26781,29784,30820
Borrowings,3435,3769,4451,5041,3364,4770,6967,5826,5339,2851,5286,6648,8427
Other Liabilities,1232,1970,3303,3568,3464,4492,5414,6113,6147,6211,7379,8227,8789
Total Liabilities,7273,9490,12910,15896,16200,20942,26271,28765,33416,33638,39505,44717,48094
Fixed Assets,2639,2722,3706,4180,4834,6521,8475,9396,9374,10532,11024,14493,15436
CWIP,219,310,420,848,1458,1583,1668,1986,3062,3747,5390,3869,3497
Investments,22,20,20,123,246,312,360,555,591,997,543,372,325
Other Assets,4393,6439,8765,10745,9662,12527,15768,16827,20390,18362,22549,25983,28837
Total Assets,7273,9490,12910,15896,16200,20942,26271,28765,33416,33638,39505,44717,48094
