Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,6002.0,5809.0,6236.0,5739.0,6407.0,6473.0,6851.0,7219.0,7352.0,7580.0,7567.0,7796.0,7979.0
Expenses,4993.0,4839.0,5303.0,4950.0,5453.0,5477.0,5702.0,5846.0,5753.0,5920.0,5949.0,6230.0,6401.0
Operating Profit,1009.0,970.0,933.0,790.0,954.0,996.0,1149.0,1373.0,1599.0,1660.0,1618.0,1566.0,1578.0
OPM,17.0,17.0,15.0,14.0,15.0,15.0,17.0,19.0,22.0,22.0,21.0,20.0,20.0
Other Income,100.0,-114.0,41.0,57.0,93.0,135.0,47.0,188.0,163.0,14.0,221.0,136.0,159.0
Interest,16.0,9.0,15.0,25.0,45.0,56.0,57.0,68.0,76.0,89.0,111.0,113.0,118.0
Depreciation,299.0,254.0,280.0,298.0,321.0,346.0,327.0,418.0,423.0,354.0,404.0,382.0,419.0
Profit before tax,794.0,594.0,679.0,523.0,680.0,730.0,812.0,1076.0,1262.0,1230.0,1324.0,1207.0,1200.0
Tax,24.0,3.0,23.0,22.0,28.0,31.0,30.0,30.0,26.0,26.0,31.0,32.0,30.0
Net Profit,604.0,576.0,520.0,410.0,491.0,506.0,570.0,752.0,940.0,907.0,918.0,817.0,846.0
EPS in Rs,10.32,9.84,8.88,6.99,8.38,8.64,9.74,12.92,15.98,15.51,15.69,13.95,14.44
Raw PDF,,,,,,,,,,,,,
