Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,161,161,161,161,161,161,161,161,161,161,161,162
Reserves,9890,10641,11356,12383,14068,14851,15602,18165,20680,23246,26545,31032
Borrowings,1248,1703,5202,4113,4098,4316,2816,2014,1056,803,559,438
Other Liabilities,2102,3166,4331,4213,4346,4433,4843,4514,4960,5089,5267,5755
Total Liabilities,13400,15670,21049,20869,22673,23762,23423,24855,26857,29300,32533,37387
Fixed Assets,6496,6830,9368,9492,9950,9608,9683,9516,9683,9160,9607,10360
CWIP,442,581,2061,1683,981,676,825,969,766,1093,1153,1213
Investments,709,640,759,973,1259,2554,1471,2710,2551,3662,5449,7933
Other Assets,5753,7620,8862,8721,10483,10923,11444,11661,13857,15384,16323,17882
Total Assets,13400,15670,21049,20869,22673,23762,23423,24855,26857,29300,32533,37387
