Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,27,27,27,53,53,53,53,53,53,53,53,53,53
Reserves,2474,2937,3469,4240,5304,5872,6904,7257,9242,11675,12714,13518,13664
Borrowings,33,18,27,42,36,63,106,39,5,4,4,3,8
Other Liabilities,605,729,883,562,762,797,973,1183,1471,1628,1654,1886,1861
Total Liabilities,3139,3710,4405,4898,6155,6785,8036,8531,10771,13360,14425,15460,15586
Fixed Assets,909,1222,1309,1439,1559,1996,2088,2782,3704,4325,4722,4739,4658
CWIP,303,144,218,264,444,120,492,920,711,470,212,778,1316
Investments,408,502,733,803,1631,1889,1946,971,0,72,77,82,85
Other Assets,1519,1842,2145,2392,2521,2780,3511,3858,6356,8493,9414,9861,9527
Total Assets,3139,3710,4405,4898,6155,6785,8036,8531,10771,13360,14425,15460,15586
