Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,2493.0,2518.0,2255.0,1855.0,1708.0,1951.0,1778.0,1909.0,1855.0,2303.0,2118.0,2338.0,2319.0
Expenses,1396.0,1414.0,1406.0,1234.0,1299.0,1464.0,1274.0,1430.0,1366.0,1572.0,1496.0,1622.0,1576.0
Operating Profit,1097.0,1104.0,849.0,621.0,409.0,487.0,504.0,479.0,489.0,731.0,622.0,716.0,743.0
OPM,44.0,44.0,38.0,33.0,24.0,25.0,28.0,25.0,26.0,32.0,29.0,31.0,32.0
Other Income,17.0,52.0,88.0,80.0,113.0,66.0,81.0,86.0,95.0,79.0,79.0,106.0,82.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0
Depreciation,80.0,81.0,85.0,86.0,87.0,87.0,93.0,95.0,95.0,95.0,97.0,99.0,99.0
Profit before tax,1034.0,1076.0,852.0,615.0,435.0,466.0,492.0,469.0,489.0,713.0,604.0,722.0,726.0
Tax,13.0,17.0,18.0,20.0,30.0,31.0,28.0,26.0,27.0,25.0,29.0,29.0,19.0
Net Profit,902.0,895.0,702.0,493.0,306.0,321.0,356.0,348.0,358.0,538.0,430.0,510.0,589.0
EPS in Rs,33.99,33.7,26.44,18.57,11.53,12.09,13.41,13.11,13.49,20.27,16.2,19.21,22.19
Raw PDF,,,,,,,,,,,,,
