Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,85,85,85,83,83,83,83,83,83,83,83,83
Reserves,7780,9768,12484,12179,12489,13941,15516,17558,19129,23203,28171,33466
Borrowings,4477,4314,3352,4918,5071,3838,2210,3031,3384,1347,2002,4677
Other Liabilities,3563,4290,4408,4474,4706,4557,5414,5915,7149,7576,8523,11200
Total Liabilities,15906,18457,20330,21654,22349,22418,23223,26588,29746,32209,38780,49427
Fixed Assets,4641,5377,6563,6931,6968,7191,6850,8206,8122,9219,10426,18293
CWIP,639,529,772,3324,3470,2934,1535,1565,1293,1030,1419,2399
Investments,1067,2248,3833,2110,2298,2587,2678,2212,2616,4986,4930,4051
Other Assets,9559,10303,9162,9290,9612,9707,12160,14605,17715,16974,22004,24684
Total Assets,15906,18457,20330,21654,22349,22418,23223,26588,29746,32209,38780,49427
