Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,5475.0,5233.0,6332.0,6790.0,6315.0,6758.0,6903.0,7237.0,7114.0,7696.0,8038.0,8381.0,8528.0
Expenses,5024.0,4292.0,4433.0,4851.0,4781.0,4696.0,4894.0,5214.0,5283.0,5566.0,5962.0,6108.0,6530.0
Operating Profit,451.0,941.0,1899.0,1939.0,1534.0,2062.0,2008.0,2023.0,1831.0,2130.0,2076.0,2273.0,1998.0
OPM,8.0,18.0,30.0,29.0,24.0,31.0,29.0,28.0,26.0,28.0,26.0,27.0,23.0
Other Income,132.0,863.0,55.0,65.0,146.0,178.0,319.0,219.0,201.0,193.0,314.0,154.0,528.0
Interest,32.0,35.0,31.0,42.0,35.0,37.0,35.0,39.0,59.0,60.0,76.0,82.0,66.0
Depreciation,293.0,302.0,309.0,324.0,316.0,353.0,376.0,374.0,368.0,381.0,397.0,471.0,455.0
Profit before tax,259.0,1468.0,1614.0,1638.0,1329.0,1850.0,1917.0,1829.0,1605.0,1883.0,1917.0,1874.0,2005.0
Tax,63.0,19.0,31.0,24.0,28.0,24.0,23.0,24.0,18.0,26.0,30.0,25.0,21.0
Net Profit,97.0,1189.0,1114.0,1244.0,960.0,1405.0,1482.0,1381.0,1310.0,1392.0,1342.0,1404.0,1587.0
EPS in Rs,1.17,14.29,13.39,14.94,11.53,16.87,17.77,16.56,15.7,16.69,15.05,16.94,19.09
Raw PDF,,,,,,,,,,,,,
