Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,90,90,90,90,90,90,90,91,91,91,91,91,91
Reserves,5115,6842,8784,11073,13407,13487,13652,12446,13712,12062,12374,14199,15551
Borrowings,1164,654,537,7178,7966,7143,8496,6305,5129,4158,4542,2922,3442
Other Liabilities,2475,2550,3642,3957,4749,5300,5423,5968,4498,5340,5794,6539,6398
Total Liabilities,8843,10135,13054,22298,26212,26020,27661,24810,23430,21651,22800,23751,25482
Fixed Assets,3000,3356,4368,8717,11033,10362,11087,7938,7881,7382,8355,8878,9062
CWIP,311,304,576,2702,2133,2598,1640,940,1066,1146,1238,773,635
Investments,2,178,1658,16,2136,262,2295,2374,2455,900,517,1075,1575
Other Assets,5530,6297,6451,10862,10910,12798,12639,13557,12028,12224,12690,13026,14209
Total Assets,8843,10135,13054,22298,26212,26020,27661,24810,23430,21651,22800,23751,25482
