Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,4161.0,3883.0,3744.0,4146.0,4322.0,4430.0,4814.0,5039.0,5197.0,4961.0,5600.0,5673.0,5768.0
Expenses,3791.0,3615.0,3512.0,3693.0,3790.0,3852.0,3958.0,4121.0,4159.0,3964.0,4359.0,4332.0,4412.0
Operating Profit,370.0,268.0,232.0,453.0,533.0,578.0,856.0,918.0,1038.0,997.0,1241.0,1340.0,1356.0
OPM,9.0,7.0,6.0,11.0,12.0,13.0,18.0,18.0,20.0,20.0,22.0,24.0,24.0
Other Income,34.0,16.0,6.0,15.0,18.0,37.0,23.0,40.0,29.0,29.0,68.0,42.0,54.0
Interest,33.0,41.0,43.0,55.0,84.0,93.0,86.0,81.0,74.0,71.0,68.0,71.0,67.0
Depreciation,203.0,327.0,193.0,203.0,220.0,264.0,235.0,248.0,257.0,457.0,248.0,257.0,271.0
Profit before tax,167.0,-85.0,2.0,210.0,246.0,258.0,559.0,630.0,736.0,498.0,993.0,1055.0,1071.0
Tax,-229.0,502.0,3925.0,36.0,36.0,6.0,19.0,21.0,16.0,26.0,19.0,19.0,20.0
Net Profit,549.0,-512.0,-87.0,134.0,158.0,242.0,453.0,495.0,619.0,368.0,806.0,859.0,859.0
EPS in Rs,12.01,-11.4,-1.96,2.85,3.37,5.19,9.94,10.76,13.47,7.89,17.58,18.69,18.74
Raw PDF,,,,,,,,,,,,,
