Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,104,207,207,241,240,240,240,240,240,240,240,240,240
Reserves,14886,18318,25431,32742,36400,38074,41169,45025,46223,47771,55755,63427,68875
Borrowings,260,2561,8996,8497,9832,10385,10514,8315,3869,1290,6886,3274,2572
Other Liabilities,5128,8009,14089,13948,14624,15598,12666,14615,17291,20474,17831,18367,16429
Total Liabilities,20377,29095,48723,55428,61095,64297,64590,68194,67622,69776,80712,85308,88116
Fixed Assets,5647,6817,12682,15872,17675,18853,21837,22847,21553,22665,24065,23211,28318
CWIP,563,842,2039,2175,2801,2465,1411,1220,1567,1287,4973,5354,1150
Investments,2412,2786,2716,1830,1192,7143,7903,10143,9612,12849,14824,15026,17744
Other Assets,11756,18650,31286,35550,39427,35837,33439,33984,34890,32975,36849,41717,40904
Total Assets,20377,29095,48723,55428,61095,64297,64590,68194,67622,69776,80712,85308,88116
