Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,11131.0,16080.0,27392.0,28487.0,31578.0,26489.0,29066.0,32838.0,33498.0,38654.0,43886.0,48497.0,51602.0
Expenses,6346.0,9078.0,19498.0,20313.0,21476.0,20858.0,22689.0,25855.0,25028.0,28397.0,32235.0,35479.0,37012.0
Operating Profit,4784.0,7003.0,7894.0,8174.0,10102.0,5631.0,6377.0,6983.0,8470.0,10258.0,11650.0,13018.0,14591.0
OPM,43.0,44.0,29.0,29.0,32.0,21.0,22.0,21.0,25.0,27.0,27.0,27.0,28.0
Other Income,-90.0,-1968.0,283.0,-42.0,610.0,-135.0,-258.0,382.0,-3449.0,-3505.0,459.0,865.0,1540.0
Interest,43.0,44.0,579.0,523.0,400.0,518.0,555.0,303.0,141.0,127.0,172.0,238.0,256.0
Depreciation,336.0,409.0,1195.0,1038.0,1265.0,1500.0,1753.0,2053.0,2080.0,2144.0,2529.0,2557.0,2562.0
Profit before tax,4315.0,4581.0,6403.0,6571.0,9048.0,3479.0,3810.0,5010.0,2799.0,4481.0,9408.0,11088.0,13313.0
Tax,20.0,15.0,14.0,14.0,13.0,26.0,16.0,16.0,18.0,24.0,9.0,13.0,
Net Profit,3469.0,3879.0,5476.0,5658.0,7846.0,2542.0,3208.0,4172.0,2272.0,3389.0,8513.0,9610.0,11470.0
EPS in Rs,14.4,15.17,21.92,18.89,29.03,8.73,11.11,15.69,12.1,13.64,35.32,39.91,47.65
Dividend Payout,9.0,10.0,14.0,5.0,12.0,23.0,25.0,25.0,62.0,73.0,33.0,34.0,
