Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,102,102,102,102,102,102,102,102,102,102,101,101,101
Reserves,2842,3337,4149,5597,6858,8642,10284,10273,12890,16897,17415,19729,21724
Borrowings,2918,2700,2651,2442,5207,5407,7899,7986,4608,4221,1195,804,190
Other Liabilities,1512,1847,2144,2208,2937,3632,4945,5115,6165,6421,6851,8201,9431
Total Liabilities,7374,7986,9047,10350,15104,17783,23231,23477,23765,27642,25562,28834,31446
Fixed Assets,3026,3124,3352,3748,5755,6483,12164,12230,12133,12188,11521,12368,14304
CWIP,736,892,798,951,1543,1527,837,742,783,726,1201,2423,1051
Investments,114,87,154,416,435,746,674,765,830,3288,1547,1220,2596
Other Assets,3498,3885,4743,5235,7371,9028,9556,9740,10019,11439,11294,12822,13495
Total Assets,7374,7986,9047,10350,15104,17783,23231,23477,23765,27642,25562,28834,31446
