Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,3640.0,3806.0,4073.0,4135.0,4257.0,5011.0,5140.0,4369.0,4505.0,5534.0,6208.0,5237.0,5269.0
Expenses,2888.0,3088.0,3240.0,3319.0,3301.0,3755.0,3634.0,3223.0,3403.0,3903.0,4124.0,3776.0,3882.0
Operating Profit,752.0,718.0,833.0,815.0,956.0,1256.0,1505.0,1146.0,1102.0,1630.0,2084.0,1461.0,1388.0
OPM,21.0,19.0,20.0,20.0,22.0,25.0,29.0,26.0,24.0,29.0,34.0,28.0,26.0
Other Income,54.0,64.0,55.0,50.0,39.0,-566.0,21.0,53.0,60.0,160.0,63.0,68.0,57.0
Interest,31.0,38.0,34.0,35.0,33.0,28.0,18.0,9.0,20.0,35.0,32.0,25.0,32.0
Depreciation,177.0,185.0,181.0,182.0,182.0,179.0,180.0,184.0,195.0,205.0,215.0,234.0,229.0
Profit before tax,598.0,558.0,673.0,648.0,780.0,484.0,1328.0,1006.0,947.0,1550.0,1900.0,1271.0,1184.0
Tax,18.0,20.0,18.0,21.0,25.0,28.0,16.0,22.0,23.0,21.0,23.0,29.0,15.0
Net Profit,511.0,453.0,576.0,526.0,631.0,358.0,1134.0,803.0,790.0,1246.0,1482.0,920.0,1026.0
EPS in Rs,4.89,3.88,5.06,5.16,6.15,2.93,10.74,7.91,7.8,11.75,14.11,9.06,10.17
Raw PDF,,,,,,,,,,,,,
