Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,340,356,356,357,357,357,441,495,495,495,495,495,495
Reserves,25389,27039,27013,23712,24216,34954,33135,33952,34849,35867,37192,38936,39732
Borrowings,26600,24133,24495,25264,29202,17491,17222,8103,6886,4182,3334,4834,4290
Other Liabilities,12318,12997,14398,12396,10179,7783,15684,13341,11258,10623,11551,14804,18062
Total Liabilities,64647,64525,66262,61729,63954,60585,66483,55890,53488,51167,52572,59069,62579
Fixed Assets,19849,18835,19619,3943,24640,8082,6322,5187,4856,4862,4785,3880,3836
CWIP,7834,5979,5901,1779,153,137,103,89,95,81,61,71,73
Investments,1334,891,623,21310,1209,20832,21005,18566,19746,19779,19481,20138,20900
Other Assets,35630,38820,40119,34697,37952,31533,39053,32049,28791,26444,28245,34981,37770
Total Assets,64647,64525,66262,61729,63954,60585,66483,55890,53488,51167,52572,59069,62579
