Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,1550.0,1547.0,1442.0,1302.0,1495.0,1456.0,1423.0,1348.0,1521.0,2135.0,1362.0,1975.0,1529.0
Expenses,1028.0,1180.0,1028.0,866.0,1018.0,1058.0,1027.0,885.0,1010.0,1381.0,1134.0,1473.0,1129.0
Operating Profit,521.0,368.0,414.0,437.0,477.0,398.0,396.0,462.0,511.0,754.0,229.0,502.0,400.0
OPM,34.0,24.0,29.0,34.0,32.0,27.0,28.0,34.0,34.0,35.0,17.0,25.0,26.0
Other Income,-87.0,105.0,75.0,58.0,65.0,120.0,98.0,129.0,122.0,182.0,367.0,206.0,-94.0
Interest,146.0,128.0,105.0,107.0,95.0,85.0,85.0,90.0,84.0,98.0,101.0,94.0,94.0
Depreciation,37.0,37.0,37.0,37.0,39.0,36.0,36.0,37.0,38.0,37.0,37.0,38.0,39.0
Profit before tax,251.0,307.0,346.0,351.0,408.0,397.0,373.0,464.0,512.0,802.0,458.0,577.0,174.0
Tax,24.0,27.0,25.0,26.0,27.0,28.0,27.0,24.0,26.0,21.0,26.0,-81.0,-154.0
Net Profit,379.0,406.0,469.0,477.0,518.0,570.0,526.0,622.0,656.0,920.0,645.0,1381.0,1059.0
EPS in Rs,1.53,1.64,1.9,1.93,2.1,2.3,2.13,2.52,2.65,3.72,2.61,5.58,4.28
Raw PDF,,,,,,,,,,,,,
