Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,99,100,108,108,108,115,126,139,139,139,139,151
Reserves,1694,1747,1657,1896,1102,2354,4682,8181,8536,9125,9853,17162
Borrowings,2574,3486,3123,3980,3703,3516,3715,4593,5196,6431,10679,12641
Other Liabilities,1779,2030,1691,1197,3358,2107,1567,3333,3932,7410,15063,25512
Total Liabilities,6147,7363,6578,7181,8271,8092,10090,16245,17804,23105,35735,55466
Fixed Assets,64,117,107,102,113,97,113,174,183,218,997,1273
CWIP,62,73,1,0,71,100,163,229,340,653,250,113
Investments,0,0,664,760,1454,2637,3571,5243,4883,2534,3150,5951
Other Assets,6021,7173,5807,6319,6633,5259,6243,10599,12397,19700,31337,48128
Total Assets,6147,7363,6578,7181,8271,8092,10090,16245,17804,23105,35735,55466
