Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,1331.0,245.0,165.0,196.0,1646.0,936.0,343.0,330.0,1426.0,739.0,1093.0,969.0,2122.0
Expenses,1120.0,310.0,275.0,251.0,1300.0,1085.0,438.0,397.0,1303.0,926.0,1064.0,960.0,2047.0
Operating Profit,211.0,-66.0,-110.0,-55.0,346.0,-149.0,-95.0,-66.0,123.0,-187.0,29.0,9.0,75.0
OPM,16.0,-27.0,-66.0,-28.0,21.0,-16.0,-28.0,-20.0,9.0,-25.0,3.0,1.0,4.0
Other Income,192.0,182.0,204.0,208.0,284.0,379.0,262.0,218.0,526.0,960.0,253.0,271.0,559.0
Interest,43.0,34.0,41.0,46.0,54.0,30.0,48.0,43.0,31.0,41.0,45.0,42.0,46.0
Depreciation,6.0,5.0,6.0,6.0,7.0,7.0,7.0,14.0,16.0,17.0,18.0,18.0,21.0
Profit before tax,354.0,76.0,48.0,101.0,570.0,193.0,111.0,95.0,601.0,716.0,219.0,220.0,567.0
Tax,27.0,43.0,-39.0,44.0,20.0,31.0,35.0,34.0,20.0,28.0,-52.0,28.0,33.0
Net Profit,259.0,43.0,67.0,56.0,454.0,134.0,73.0,63.0,478.0,519.0,334.0,158.0,378.0
EPS in Rs,9.37,1.64,1.98,2.11,14.82,4.49,2.4,2.24,16.95,18.7,12.06,5.4,12.68
Raw PDF,,,,,,,,,,,,,
