Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,1441.0,1639.0,1769.0,1817.0,1614.0,1977.0,1936.0,1040.0,1460.0,2616.0,3972.0,3814.0
Expenses,762.0,877.0,978.0,961.0,830.0,975.0,963.0,539.0,725.0,1096.0,1790.0,1652.0
Operating Profit,679.0,762.0,790.0,856.0,784.0,1001.0,973.0,501.0,735.0,1519.0,2182.0,2161.0
OPM,47.0,47.0,45.0,47.0,49.0,51.0,50.0,48.0,50.0,58.0,55.0,57.0
Other Income,47.0,-63.0,-11.0,39.0,50.0,125.0,60.0,86.0,74.0,721.0,126.0,164.0
Interest,345.0,396.0,443.0,424.0,349.0,351.0,348.0,348.0,295.0,341.0,396.0,403.0
Depreciation,105.0,168.0,177.0,195.0,198.0,204.0,208.0,209.0,186.0,228.0,270.0,327.0
Profit before tax,275.0,136.0,159.0,276.0,287.0,572.0,478.0,29.0,328.0,1671.0,1643.0,1595.0
Tax,33.0,36.0,48.0,31.0,26.0,19.0,26.0,-16.0,24.0,12.0,19.0,18.0
Net Profit,182.0,91.0,84.0,191.0,256.0,497.0,388.0,48.0,268.0,1478.0,1333.0,1307.0
EPS in Rs,4.43,1.22,4.21,5.49,7.91,13.73,10.91,1.68,6.65,37.37,30.76,27.53
Dividend Payout,25.0,90.0,26.0,22.0,16.0,11.0,0.0,31.0,18.0,7.0,8.0,9.0
