Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,495.0,574.0,651.0,684.0,729.0,811.0,875.0,986.0,1306.0,904.0,918.0,975.0,1016.0
Expenses,254.0,251.0,270.0,299.0,298.0,318.0,369.0,434.0,679.0,373.0,400.0,422.0,457.0
Operating Profit,241.0,323.0,381.0,384.0,431.0,492.0,506.0,552.0,627.0,531.0,518.0,553.0,560.0
OPM,49.0,56.0,58.0,56.0,59.0,61.0,58.0,56.0,48.0,59.0,56.0,57.0,55.0
Other Income,24.0,580.0,32.0,35.0,74.0,29.0,32.0,34.0,37.0,38.0,37.0,46.0,42.0
Interest,78.0,74.0,83.0,87.0,97.0,96.0,96.0,104.0,100.0,103.0,103.0,103.0,94.0
Depreciation,44.0,50.0,56.0,57.0,65.0,63.0,66.0,66.0,76.0,77.0,78.0,81.0,90.0
Profit before tax,143.0,779.0,274.0,276.0,343.0,363.0,375.0,416.0,489.0,388.0,374.0,415.0,418.0
Tax,18.0,4.0,19.0,23.0,14.0,20.0,19.0,17.0,20.0,19.0,22.0,15.0,17.0
Net Profit,122.0,752.0,222.0,211.0,292.0,291.0,305.0,345.0,392.0,315.0,292.0,353.0,348.0
EPS in Rs,2.94,20.13,5.2,4.94,7.11,6.73,7.07,7.82,9.14,6.5,6.1,7.41,7.52
Raw PDF,,,,,,,,,,,,,
