Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,1328.0,2400.0,1938.0,1428.0,2317.0,2632.0,1681.0,2236.0,1796.0,2164.0,1862.0,2304.0,1654.0
Expenses,965.0,1901.0,1479.0,1061.0,1745.0,1950.0,1158.0,1651.0,1261.0,1336.0,1079.0,1684.0,1071.0
Operating Profit,362.0,500.0,459.0,367.0,572.0,682.0,522.0,585.0,535.0,828.0,784.0,620.0,583.0
OPM,27.0,21.0,24.0,26.0,25.0,26.0,31.0,26.0,30.0,38.0,42.0,27.0,35.0
Other Income,20.0,903.0,223.0,193.0,30.0,341.0,285.0,1020.0,175.0,108.0,162.0,119.0,43.0
Interest,129.0,174.0,185.0,186.0,201.0,235.0,238.0,264.0,293.0,424.0,346.0,356.0,345.0
Depreciation,113.0,130.0,147.0,163.0,170.0,168.0,166.0,174.0,180.0,197.0,190.0,200.0,205.0
Profit before tax,140.0,1098.0,351.0,211.0,232.0,620.0,404.0,1167.0,237.0,314.0,409.0,183.0,77.0
Tax,33.0,14.0,28.0,30.0,30.0,19.0,21.0,22.0,31.0,25.0,25.0,-28.0,58.0
Net Profit,94.0,945.0,251.0,149.0,162.0,505.0,318.0,910.0,165.0,236.0,307.0,235.0,32.0
EPS in Rs,2.2,23.43,5.11,3.51,3.19,11.68,6.66,21.23,2.9,3.49,5.8,4.46,0.41
Raw PDF,,,,,,,,,,,,,
