Financial_Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,773,774,915,938,949,1015,1071
Reserves,655,294,1729,1835,2394,3019,3031
Borrowings,1703,5285,3600,4100,6573,9451,9999
Other Liabilities,3489,3406,3805,5321,6873,8269,8576
Total Liabilities,6621,9758,10049,12195,16790,21754,22677
Fixed Assets,2555,4940,5627,6059,8359,11867,12401
CWIP,22,48,38,103,204,171,202
Investments,4,14,418,684,267,985,607
Other Assets,4039,4756,3966,5348,7960,8731,9467
Total Assets,6621,9758,10049,12195,16790,21754,22677
