Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,2987.0,2283.0,2875.0,3075.0,3589.0,2880.0,3196.0,3226.0,4167.0,3407.0,3428.0,3644.0,4305.0
Expenses,2405.0,1910.0,2406.0,2679.0,3153.0,2687.0,2904.0,2904.0,3613.0,3123.0,3070.0,3286.0,3679.0
Operating Profit,582.0,373.0,468.0,396.0,436.0,193.0,292.0,323.0,553.0,284.0,358.0,358.0,626.0
OPM,19.0,16.0,16.0,13.0,12.0,7.0,9.0,10.0,13.0,8.0,10.0,10.0,15.0
Other Income,27.0,28.0,32.0,22.0,31.0,39.0,61.0,46.0,51.0,93.0,48.0,75.0,57.0
Interest,88.0,89.0,94.0,104.0,132.0,142.0,187.0,208.0,245.0,236.0,220.0,250.0,247.0
Depreciation,251.0,267.0,270.0,291.0,318.0,348.0,367.0,389.0,444.0,455.0,436.0,461.0,472.0
Profit before tax,269.0,45.0,135.0,24.0,17.0,-259.0,-201.0,-229.0,-85.0,-314.0,-250.0,-278.0,-36.0
Tax,27.0,29.0,30.0,-24.0,36.0,-25.0,-20.0,-12.0,27.0,-15.0,-14.0,-23.0,17.0
Net Profit,197.0,32.0,94.0,29.0,11.0,-195.0,-162.0,-200.0,-108.0,-266.0,-215.0,-215.0,-42.0
EPS in Rs,2.02,0.46,1.04,0.4,0.17,-1.97,-1.49,-1.89,-0.82,-2.26,-1.59,-1.74,-0.48
Raw PDF,,,,,,,,,,,,,
