Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,547,562,562,624,624,624,648,648,648,648,651,651
Reserves,409,638,959,3218,4045,4963,10432,11536,13030,15430,18047,20777
Borrowings,641,904,1192,1497,439,700,333,393,647,643,592,820
Other Liabilities,211,251,389,480,540,718,663,1079,1146,1383,1882,2073
Total Liabilities,1808,2355,3102,5819,5648,7006,12076,13655,15471,18105,21172,24320
Fixed Assets,1172,1528,2094,2578,3400,4400,5948,7009,9260,11340,13415,16206
CWIP,89,98,82,153,147,377,364,1020,1129,829,935,1099
Investments,16,15,29,26,68,17,15,3,6,202,107,3
Other Assets,532,713,897,3063,2033,2212,5749,5624,5076,5733,6716,7011
Total Assets,1808,2355,3102,5819,5648,7006,12076,13655,15471,18105,21172,24320
