Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,4686.0,6439.0,8584.0,11898.0,15033.0,20005.0,24870.0,24143.0,30976.0,42840.0,50789.0,59358.0
Expenses,4345.0,5983.0,7919.0,10929.0,13680.0,18371.0,22742.0,22398.0,28474.0,39201.0,46683.0,54871.0
Operating Profit,341.0,456.0,664.0,969.0,1353.0,1633.0,2128.0,1745.0,2502.0,3639.0,4106.0,4487.0
OPM,7.0,7.0,8.0,8.0,9.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0
Other Income,16.0,20.0,17.0,28.0,88.0,48.0,60.0,194.0,114.0,128.0,145.0,124.0
Interest,56.0,72.0,91.0,122.0,60.0,47.0,69.0,42.0,54.0,67.0,58.0,69.0
Depreciation,57.0,82.0,98.0,128.0,159.0,212.0,374.0,414.0,498.0,639.0,731.0,870.0
Profit before tax,245.0,323.0,492.0,747.0,1222.0,1422.0,1745.0,1483.0,2064.0,3060.0,3461.0,3673.0
Tax,34.0,34.0,35.0,36.0,34.0,37.0,25.0,26.0,28.0,22.0,27.0,26.0
Net Profit,161.0,212.0,320.0,479.0,806.0,902.0,1301.0,1099.0,1492.0,2378.0,2536.0,2707.0
EPS in Rs,2.95,3.77,5.7,7.67,12.92,14.46,20.09,16.97,23.04,36.69,38.97,41.61
Dividend Payout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
