Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,8786.0,10038.0,10638.0,11569.0,10594.0,11865.0,12624.0,13572.0,12727.0,14069.0,14444.0,15973.0,14872.0
Expenses,8047.0,9030.0,9746.0,10604.0,9823.0,10830.0,11619.0,12453.0,11783.0,12848.0,13351.0,14755.0,13917.0
Operating Profit,739.0,1008.0,892.0,965.0,772.0,1035.0,1005.0,1120.0,944.0,1221.0,1094.0,1217.0,955.0
OPM,8.0,10.0,8.0,8.0,7.0,9.0,8.0,8.0,7.0,9.0,8.0,8.0,6.0
Other Income,33.0,29.0,36.0,32.0,33.0,39.0,37.0,33.0,38.0,42.0,34.0,24.0,25.0
Interest,17.0,17.0,18.0,17.0,16.0,15.0,16.0,15.0,13.0,16.0,16.0,18.0,19.0
Depreciation,146.0,145.0,162.0,168.0,164.0,162.0,174.0,189.0,205.0,193.0,208.0,228.0,241.0
Profit before tax,609.0,875.0,748.0,812.0,625.0,897.0,852.0,949.0,763.0,1054.0,903.0,995.0,720.0
Tax,30.0,27.0,8.0,27.0,26.0,27.0,27.0,27.0,26.0,27.0,27.0,27.0,24.0
Net Profit,427.0,643.0,686.0,590.0,460.0,659.0,623.0,690.0,563.0,774.0,659.0,724.0,551.0
EPS in Rs,6.59,9.93,10.59,9.1,7.1,10.12,9.58,10.61,8.66,11.89,10.14,11.12,8.47
Raw PDF,,,,,,,,,,,,,
