Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,89,89,89,89,89,89,89,89,89,89,89,89
Reserves,2434,2995,3418,4144,5001,5981,6580,7408,9214,11762,9304,11535
Borrowings,807,100,113,1882,1691,2393,3562,5638,7275,9367,15528,12967
Other Liabilities,2781,2684,2723,2293,2740,3247,3313,3309,4610,5802,6626,16056
Total Liabilities,6111,5868,6342,8408,9521,11710,13544,16444,21188,27020,31547,40647
Fixed Assets,614,699,771,1189,1474,1567,2633,2523,2544,2998,3709,4074
CWIP,33,55,107,152,43,32,18,32,85,144,97,93
Investments,3,3,30,431,36,108,158,2824,294,2515,2345,1988
Other Assets,5461,5111,5434,6636,7968,10003,10735,11065,18265,21363,25396,34492
Total Assets,6111,5868,6342,8408,9521,11710,13544,16444,21188,27020,31547,40647
