Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales,10927.0,11913.0,11276.0,13261.0,16120.0,19779.0,21052.0,21644.0,28799.0,40575.0,51084.0,60456.0
Expenses,9880.0,10761.0,10337.0,12097.0,14476.0,17785.0,18589.0,19919.0,25455.0,35693.0,45792.0,54762.0
Operating Profit,1047.0,1153.0,939.0,1164.0,1644.0,1994.0,2463.0,1725.0,3344.0,4882.0,5292.0,5694.0
OPM,10.0,10.0,8.0,9.0,10.0,10.0,12.0,8.0,12.0,12.0,10.0,9.0
Other Income,117.0,67.0,69.0,-42.0,70.0,178.0,153.0,180.0,177.0,306.0,534.0,487.0
Interest,87.0,81.0,42.0,38.0,53.0,53.0,166.0,203.0,218.0,300.0,619.0,953.0
Depreciation,68.0,90.0,98.0,111.0,131.0,163.0,348.0,375.0,399.0,441.0,584.0,693.0
Profit before tax,1010.0,1049.0,868.0,973.0,1530.0,1957.0,2102.0,1327.0,2904.0,4447.0,4623.0,4535.0
Tax,27.0,22.0,22.0,28.0,28.0,29.0,29.0,27.0,24.0,26.0,24.0,26.0
Net Profit,735.0,816.0,675.0,697.0,1102.0,1389.0,1493.0,974.0,2198.0,3274.0,3496.0,3337.0
EPS in Rs,8.28,9.19,7.6,8.01,12.73,15.82,16.91,10.96,24.48,36.61,39.38,37.59
Dividend Payout,25.0,25.0,29.0,32.0,29.0,32.0,24.0,37.0,31.0,27.0,28.0,29.0
