Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,7796.0,9443.0,9163.0,11609.0,10360.0,11897.0,12529.0,14164.0,12494.0,13266.0,14534.0,17740.0,14916.0
Expenses,7002.0,8247.0,7916.0,10262.0,9271.0,10772.0,11118.0,12599.0,11303.0,12019.0,13298.0,16066.0,13379.0
Operating Profit,794.0,1196.0,1247.0,1347.0,1089.0,1125.0,1411.0,1565.0,1191.0,1247.0,1236.0,1674.0,1537.0
OPM,10.0,13.0,14.0,12.0,11.0,9.0,11.0,11.0,10.0,9.0,8.0,9.0,10.0
Other Income,22.0,44.0,61.0,90.0,114.0,114.0,125.0,136.0,159.0,120.0,123.0,128.0,116.0
Interest,61.0,65.0,60.0,79.0,96.0,109.0,140.0,169.0,201.0,230.0,240.0,231.0,252.0
Depreciation,102.0,103.0,106.0,113.0,119.0,128.0,144.0,154.0,158.0,164.0,171.0,175.0,183.0
Profit before tax,653.0,1072.0,1142.0,1245.0,988.0,1002.0,1252.0,1378.0,991.0,973.0,948.0,1396.0,1218.0
Tax,19.0,26.0,27.0,27.0,26.0,25.0,27.0,24.0,22.0,27.0,26.0,25.0,28.0
Net Profit,527.0,790.0,835.0,913.0,736.0,756.0,916.0,1053.0,771.0,715.0,704.0,1047.0,871.0
EPS in Rs,5.74,8.84,9.36,10.18,8.22,8.48,10.31,11.86,8.68,8.05,7.93,11.79,9.81
Raw PDF,,,,,,,,,,,,,
