Financial_Metric,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024
Equity Capital,134,134,134,182,183,183,289,289,433,650,650,676
Reserves,82,9,91,1511,1587,1816,3040,3235,3647,4453,6287,15934
Borrowings,2332,2615,2527,2215,2654,2808,3417,3216,3387,3884,5431,2826
Other Liabilities,439,533,1680,915,852,1192,1630,1707,2113,2632,2819,3688
Total Liabilities,2986,3292,4431,4824,5276,5998,8376,8447,9579,11618,15187,23124
Fixed Assets,2375,2355,3496,3716,3981,4387,6479,6409,6311,6932,8409,13402
CWIP,27,25,38,96,145,352,64,67,497,607,1922,1167
Investments,1,304,3,7,8,11,0,0,0,0,21,60
Other Assets,583,608,894,1006,1141,1247,1833,1972,2772,4079,4835,8496
Total Assets,2986,3292,4431,4824,5276,5998,8376,8447,9579,11618,15187,23124
