Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,3314,3320,3598,3601,3605,4359,8736,28735,28735,32119,48680,50120,69700
Reserves,10989,13205,19429,19950,21127,22903,50899,-22756,-66963,-94084,-123039,-154287,-165096
Borrowings,14046,20637,26859,40541,55055,57985,125940,114996,201720,213761,237766,243809,250167
Other Liabilities,8029,9396,10580,16034,16881,13264,44078,105942,39986,42233,43836,45355,42226
Total Liabilities,36378,46557,60467,80126,96668,98511,229652,226918,203478,194029,207243,184997,196997
Fixed Assets,29160,29602,35540,65190,76763,79692,177800,185836,167490,156819,156255,140125,155055
CWIP,881,11419,5141,6040,7535,3585,5103,1138,606,364,17876,18189,808
Investments,1028,216,11527,3471,6378,7290,8239,1979,4,5,6,0,417
Other Assets,5309,5321,8260,5425,5991,7944,38511,37964,35378,36841,33105,26683,40717
Total Assets,36378,46557,60467,80126,96668,98511,229652,226918,203478,194029,207243,184997,196997
