Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,9717.0,10240.0,10410.0,10615.0,10621.0,10532.0,10656.0,10716.0,10673.0,10607.0,10508.0,10932.0,11117.0
Expenses,5901.0,5590.0,6082.0,6517.0,6440.0,6322.0,6499.0,6435.0,6324.0,6274.0,6304.0,6383.0,6405.0
Operating Profit,3816.0,4649.0,4328.0,4097.0,4181.0,4210.0,4156.0,4282.0,4349.0,4333.0,4205.0,4550.0,4712.0
OPM,39.0,45.0,42.0,39.0,39.0,40.0,39.0,40.0,41.0,41.0,40.0,42.0,42.0
Other Income,21.0,19.0,84.0,96.0,38.0,71.0,21.0,34.0,780.0,32.0,256.0,300.0,250.0
Interest,5325.0,5316.0,5901.0,6129.0,6323.0,5002.0,6398.0,6569.0,6518.0,6280.0,5519.0,6614.0,5940.0
Depreciation,5739.0,5913.0,5804.0,5656.0,5886.0,5704.0,5616.0,5667.0,5598.0,5751.0,5369.0,5404.0,5629.0
Profit before tax,-7226.0,-6561.0,-7293.0,-7591.0,-7990.0,-6424.0,-7837.0,-7920.0,-6987.0,-7666.0,-6427.0,-7168.0,-6607.0
Tax,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,10.0,-0.0,0.0,0.0,0.0,0.0
Net Profit,-7231.0,-6563.0,-7297.0,-7596.0,-7990.0,-6419.0,-7840.0,-8738.0,-6986.0,-7675.0,-6432.0,-7176.0,-6609.0
EPS in Rs,-2.52,-2.04,-2.27,-2.36,-2.49,-1.32,-1.61,-1.79,-1.44,-1.53,-0.95,-1.03,-0.95
Raw PDF,,,,,,,,,,,,,
