Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,5293.0,6862.0,7851.0,8011.0,9221.0,6794.0,7142.0,7369.0,5073.0,8010.0,8382.0,7738.0,8183.0
Expenses,4605.0,5927.0,6816.0,7037.0,8261.0,6103.0,6419.0,6661.0,4595.0,7180.0,7554.0,6858.0,7333.0
Operating Profit,687.0,935.0,1036.0,974.0,960.0,691.0,723.0,708.0,478.0,830.0,828.0,879.0,850.0
OPM,13.0,14.0,13.0,12.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0
Other Income,81.0,52.0,39.0,89.0,66.0,109.0,39.0,5.0,15.0,13.0,100.0,42.0,44.0
Interest,315.0,354.0,417.0,383.0,312.0,192.0,236.0,255.0,239.0,197.0,192.0,193.0,164.0
Depreciation,204.0,225.0,212.0,239.0,294.0,222.0,235.0,290.0,285.0,254.0,253.0,266.0,257.0
Profit before tax,248.0,407.0,445.0,441.0,420.0,385.0,290.0,168.0,-31.0,393.0,484.0,463.0,473.0
Tax,0.0,13.0,24.0,28.0,24.0,18.0,21.0,45.0,-11.0,38.0,15.0,24.0,
Net Profit,248.0,353.0,338.0,316.0,321.0,316.0,228.0,92.0,-27.0,242.0,413.0,353.0,317.0
EPS in Rs,9.63,13.71,13.21,12.17,12.18,11.97,8.75,3.7,-0.64,9.14,15.47,12.87,11.52
Dividend Payout,17.0,17.0,19.0,20.0,20.0,20.0,23.0,0.0,0.0,0.0,37.0,37.0,
