Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,2270.0,2197.0,2352.0,2170.0,1980.0,1881.0,1853.0,1922.0,1888.0,2075.0,1831.0,2188.0,2089.0
Expenses,2029.0,1959.0,2132.0,1968.0,1793.0,1690.0,1673.0,1716.0,1673.0,1832.0,1681.0,1967.0,1853.0
Operating Profit,241.0,238.0,220.0,202.0,186.0,191.0,180.0,206.0,216.0,243.0,150.0,221.0,236.0
OPM,11.0,11.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0,12.0,8.0,10.0,11.0
Other Income,9.0,-7.0,1.0,52.0,22.0,26.0,13.0,13.0,10.0,8.0,13.0,12.0,11.0
Interest,41.0,40.0,40.0,42.0,43.0,38.0,37.0,39.0,39.0,45.0,40.0,39.0,40.0
Depreciation,65.0,62.0,62.0,62.0,63.0,66.0,65.0,67.0,66.0,67.0,68.0,60.0,62.0
Profit before tax,145.0,128.0,119.0,150.0,102.0,113.0,92.0,113.0,120.0,138.0,54.0,135.0,145.0
Tax,35.0,33.0,15.0,15.0,15.0,14.0,24.0,26.0,21.0,24.0,19.0,53.0,27.0
Net Profit,94.0,86.0,102.0,127.0,87.0,97.0,70.0,84.0,94.0,104.0,44.0,63.0,106.0
EPS in Rs,3.56,3.18,3.77,4.79,3.22,3.71,2.52,3.06,3.51,3.79,1.5,2.28,3.95
Raw PDF,,,,,,,,,,,,,
