Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,92,92,92,93,93,131,132,132,132,132,132,133,134
Reserves,19565,21523,23048,27336,31294,57230,57888,56501,65362,75567,78610,88520,92784
Borrowings,9550,9681,11930,12505,9213,67070,84487,84777,79078,74744,103039,137155,158159
Other Liabilities,14916,16441,18963,19642,22147,83467,98620,102772,122777,138706,155042,186309,197376
Total Liabilities,44123,47736,54033,59576,62747,207899,241127,244181,267349,289149,336823,412116,448454
Fixed Assets,20561,25209,31828,34271,34786,69257,87129,87736,85023,88996,94896,100494,109643
CWIP,6084,4045,2755,1788,1297,2290,2766,3904,5769,6615,7778,18358,15903
Investments,8011,7611,7255,10601,14200,65995,62747,66337,88017,96766,105355,129306,102453
Other Assets,9467,10872,12194,12916,12464,70356,88484,86204,88540,96771,128793,163959,220454
Total Assets,44123,47736,54033,59576,62747,207899,241127,244181,267349,289149,336823,412116,448454
