Financial_Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,61,61,61,61,61,61,65,67,67,67,67,67
Reserves,1405,1480,1611,1612,1751,1892,2311,2031,2293,2832,4551,3650
Borrowings,1901,1881,2063,2140,2353,2468,2556,2413,2353,2529,4181,740
Other Liabilities,1056,1227,1170,1425,1925,2219,2790,2220,2654,2779,4203,3260
Total Liabilities,4422,4650,4905,5238,6090,6640,7722,6730,7366,8207,13001,7716
Fixed Assets,1256,1274,1174,1169,1741,1935,2441,2044,1878,1934,3475,1778
CWIP,174,196,240,412,271,114,40,21,25,36,99,5
Investments,515,427,609,640,636,540,598,500,1100,1639,2826,1120
Other Assets,2477,2753,2881,3016,3443,4051,4644,4164,4363,4598,6601,4814
Total Assets,4422,4650,4905,5238,6090,6640,7722,6730,7366,8207,13001,7716
