Financial_Metric,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales,1958.0,1728.0,2168.0,2168.0,2150.0,473.0,470.0,678.0,266.0,938.0,1045.0,466.0,557.0
Expenses,1674.0,1520.0,1833.0,1854.0,1813.0,431.0,427.0,622.0,256.0,850.0,943.0,435.0,513.0
Operating Profit,284.0,208.0,335.0,314.0,337.0,42.0,44.0,57.0,10.0,88.0,102.0,31.0,44.0
OPM,15.0,12.0,15.0,14.0,16.0,9.0,9.0,8.0,4.0,9.0,10.0,7.0,8.0
Other Income,-35.0,28.0,19.0,27.0,-38.0,1065.0,153.0,192.0,249.0,7370.0,56.0,95.0,156.0
Interest,57.0,59.0,63.0,70.0,64.0,8.0,9.0,22.0,5.0,31.0,29.0,16.0,17.0
Depreciation,59.0,58.0,58.0,58.0,62.0,16.0,17.0,18.0,21.0,39.0,40.0,37.0,37.0
Profit before tax,133.0,118.0,233.0,213.0,173.0,1083.0,170.0,210.0,234.0,7388.0,89.0,73.0,146.0
Tax,-100.0,31.0,30.0,55.0,-13.0,2.0,5.0,12.0,2.0,0.0,34.0,1.0,6.0
Net Profit,265.0,82.0,162.0,97.0,196.0,1067.0,161.0,185.0,230.0,7367.0,59.0,72.0,137.0
EPS in Rs,39.54,12.15,23.85,14.24,29.18,159.95,23.99,27.55,34.42,1106.08,9.01,10.83,19.93
Raw PDF,,,,,,,,,,,,,
