Financial_Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales,3318.0,3841.0,3737.0,3666.0,4625.0,4559.0,5249.0,4728.0,4531.0,6998.0,6332.0,6809.0,6805.0
Expenses,2763.0,3109.0,3075.0,2936.0,3740.0,3708.0,4266.0,3882.0,3705.0,5478.0,5386.0,5869.0,5934.0
Operating Profit,555.0,732.0,661.0,730.0,885.0,852.0,983.0,846.0,826.0,1520.0,947.0,940.0,871.0
OPM,17.0,19.0,18.0,20.0,19.0,19.0,19.0,18.0,18.0,22.0,15.0,14.0,13.0
Other Income,22.0,12.0,34.0,33.0,107.0,63.0,44.0,20.0,-18.0,16.0,25.0,58.0,60.0
Interest,235.0,210.0,206.0,145.0,141.0,118.0,112.0,111.0,72.0,86.0,80.0,156.0,177.0
Depreciation,261.0,268.0,321.0,337.0,412.0,404.0,364.0,334.0,337.0,333.0,313.0,365.0,373.0
Profit before tax,81.0,265.0,168.0,281.0,439.0,392.0,550.0,421.0,398.0,1116.0,579.0,477.0,381.0
Tax,39.0,26.0,30.0,14.0,23.0,32.0,32.0,19.0,24.0,25.0,24.0,27.0,
Net Profit,49.0,194.0,118.0,242.0,337.0,266.0,372.0,340.0,304.0,834.0,442.0,350.0,296.0
EPS in Rs,0.16,0.62,0.23,0.48,0.66,0.52,0.73,0.67,0.6,1.64,0.86,0.69,0.57
Dividend Payout,-0.0,5.0,26.0,19.0,22.0,28.0,40.0,53.0,60.0,22.0,42.0,52.0,
