Financial_Metric,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales,1980.0,1870.0,1680.0,1438.0,1641.0,1573.0,1494.0,1798.0,1835.0,1682.0,1743.0,1713.0,1667.0
Expenses,1574.0,1532.0,1418.0,1297.0,1367.0,1305.0,1262.0,1557.0,1572.0,1477.0,1517.0,1487.0,1453.0
Operating Profit,406.0,338.0,262.0,141.0,274.0,269.0,231.0,240.0,263.0,205.0,225.0,226.0,214.0
OPM,21.0,18.0,16.0,10.0,17.0,17.0,15.0,13.0,14.0,12.0,13.0,13.0,13.0
Other Income,-23.0,7.0,5.0,5.0,8.0,7.0,11.0,15.0,14.0,18.0,15.0,11.0,15.0
Interest,22.0,19.0,19.0,20.0,19.0,22.0,32.0,35.0,40.0,49.0,47.0,46.0,35.0
Depreciation,78.0,81.0,76.0,78.0,78.0,80.0,89.0,89.0,90.0,96.0,92.0,92.0,93.0
Profit before tax,284.0,244.0,172.0,48.0,186.0,173.0,122.0,130.0,146.0,78.0,102.0,99.0,102.0
Tax,26.0,26.0,25.0,22.0,22.0,24.0,25.0,31.0,25.0,24.0,28.0,16.0,21.0
Net Profit,211.0,181.0,129.0,37.0,144.0,131.0,91.0,90.0,109.0,59.0,74.0,83.0,80.0
EPS in Rs,0.41,0.36,0.25,0.07,0.28,0.25,0.18,0.18,0.21,0.11,0.14,0.16,0.16
Raw PDF,,,,,,,,,,,,,
