Financial_Metric,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Sales,803.0,852.0,939.0,1051.0,1019.0,951.0,925.0,637.0,808.0,560.0,507.0,928.0
Expenses,689.0,871.0,837.0,947.0,950.0,889.0,863.0,698.0,807.0,560.0,493.0,868.0
Operating Profit,114.0,-19.0,102.0,104.0,69.0,62.0,61.0,-61.0,2.0,-0.0,15.0,59.0
OPM,14.0,-2.0,11.0,10.0,7.0,6.0,7.0,-10.0,0.0,-0.0,3.0,6.0
Other Income,5.0,22.0,13.0,24.0,-10.0,52.0,12.0,3.0,2.0,177.0,3.0,3.0
Interest,57.0,86.0,76.0,88.0,91.0,90.0,77.0,84.0,60.0,60.0,59.0,64.0
Depreciation,39.0,45.0,52.0,48.0,42.0,38.0,30.0,30.0,18.0,16.0,15.0,14.0
Profit before tax,23.0,-127.0,-13.0,-8.0,-74.0,-15.0,-33.0,-172.0,-74.0,102.0,-57.0,-16.0
Tax,40.0,-18.0,-48.0,-18.0,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,14.0,-100.0,-7.0,-6.0,-45.0,-15.0,-33.0,-172.0,-74.0,102.0,-57.0,-16.0
EPS in Rs,0.77,-4.55,-0.21,-0.25,-1.54,-0.52,-1.15,-5.9,-2.54,3.5,-1.95,-0.53
Dividend Payout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
