index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,2619.0,2217.0,402.0,15.0,11.0,118.0,89.0,206.0,26.0,163.0,4.58,25.0
Mar 2015,2890.0,2424.0,466.0,16.0,9.0,138.0,82.0,255.0,24.0,208.0,5.81,24.0
Mar 2016,3006.0,2434.0,572.0,19.0,6.0,117.0,98.0,363.0,26.0,268.0,7.71,28.0
Mar 2017,3163.0,2509.0,654.0,21.0,2.0,117.0,123.0,416.0,21.0,328.0,9.62,3.0
Mar 2018,3806.0,3106.0,700.0,18.0,7.0,132.0,146.0,429.0,19.0,346.0,10.24,2.0
Mar 2019,4168.0,3202.0,965.0,23.0,2.0,183.0,163.0,622.0,19.0,504.0,14.18,19.0
Mar 2020,4186.0,3209.0,977.0,23.0,9.0,125.0,185.0,676.0,19.0,547.0,15.39,11.0
Mar 2021,4506.0,3525.0,982.0,22.0,1.0,86.0,231.0,665.0,19.0,535.0,15.02,10.0
Mar 2022,6086.0,4365.0,1720.0,28.0,1.0,102.0,246.0,1372.0,14.0,1186.0,32.71,11.0
Mar 2023,6619.0,5530.0,1089.0,16.0,1.0,168.0,310.0,611.0,11.0,545.0,15.04,17.0
Mar 2024,6372.0,5391.0,982.0,15.0,3.0,211.0,378.0,395.0,-5.0,416.0,11.49,9.0
Mar 2025,7271.0,6271.0,1000.0,14.0,16.0,275.0,434.0,307.0,-8.0,331.0,9.13,11.0
