index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,1756.0,1417.0,339.0,19.0,0.0,31.0,77.0,231.0,16.0,194.0,5.34
Jun 2022,1610.0,1326.0,284.0,18.0,0.0,45.0,72.0,167.0,19.0,136.0,3.75
Sep 2022,1685.0,1418.0,267.0,16.0,0.0,44.0,73.0,150.0,17.0,124.0,3.42
Dec 2022,1668.0,1379.0,289.0,17.0,0.0,47.0,82.0,160.0,15.0,137.0,3.77
Mar 2023,1656.0,1403.0,253.0,15.0,0.0,33.0,84.0,136.0,-10.0,149.0,4.11
Jun 2023,1414.0,1214.0,200.0,14.0,0.0,40.0,89.0,71.0,1.0,70.0,1.93
Sep 2023,1454.0,1221.0,233.0,16.0,0.0,58.0,93.0,82.0,-11.0,91.0,2.51
Dec 2023,1732.0,1473.0,259.0,15.0,8.0,54.0,97.0,116.0,-7.0,124.0,3.42
Mar 2024,1773.0,1489.0,284.0,16.0,-1.0,59.0,98.0,126.0,-5.0,132.0,3.64
Jun 2024,1855.0,1550.0,305.0,16.0,6.0,64.0,102.0,145.0,6.0,137.0,3.78
Sep 2024,1628.0,1431.0,197.0,12.0,7.0,62.0,108.0,34.0,-53.0,52.0,1.43
Dec 2024,1843.0,1608.0,235.0,13.0,1.0,85.0,111.0,40.0,-15.0,46.0,1.27
Mar 2025,1949.0,1681.0,268.0,14.0,-3.0,64.0,113.0,88.0,-9.0,96.0,2.65
