index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,486.0,420.0,66.0,14.0,31.0,6.0,22.0,69.0,21.0,68.0,13.47,24.0
Mar 2015,592.0,519.0,72.0,12.0,29.0,3.0,20.0,78.0,26.0,58.0,11.18,29.0
Mar 2016,680.0,561.0,118.0,17.0,23.0,4.0,22.0,116.0,28.0,84.0,17.08,25.0
Mar 2017,742.0,582.0,159.0,21.0,55.0,3.0,30.0,182.0,25.0,137.0,27.88,23.0
Mar 2018,913.0,693.0,220.0,24.0,88.0,1.0,40.0,266.0,32.0,180.0,36.43,27.0
Mar 2019,996.0,777.0,219.0,22.0,34.0,1.0,28.0,224.0,34.0,149.0,30.15,26.0
Mar 2020,1062.0,794.0,268.0,25.0,29.0,2.0,37.0,258.0,-56.0,409.0,82.57,13.0
Mar 2021,1179.0,870.0,309.0,26.0,94.0,2.0,44.0,358.0,31.0,258.0,52.02,21.0
Mar 2022,1453.0,1098.0,356.0,24.0,38.0,2.0,48.0,344.0,24.0,263.0,53.09,21.0
Mar 2023,2077.0,1527.0,550.0,26.0,36.0,28.0,63.0,496.0,24.0,375.0,75.68,16.0
Mar 2024,2065.0,1666.0,399.0,19.0,107.0,75.0,96.0,336.0,19.0,270.0,54.56,27.0
Mar 2025,2349.0,1816.0,534.0,23.0,44.0,78.0,119.0,380.0,24.0,289.0,58.19,21.0
