index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,409.0,315.0,94.0,23.0,12.0,1.0,12.0,94.0,20.0,75.0,15.17
Jun 2022,398.0,298.0,99.0,25.0,11.0,0.0,12.0,97.0,24.0,74.0,15.02
Sep 2022,419.0,325.0,94.0,22.0,11.0,4.0,18.0,83.0,30.0,58.0,11.67
Dec 2022,564.0,408.0,156.0,28.0,10.0,9.0,25.0,131.0,19.0,107.0,21.5
Mar 2023,697.0,495.0,202.0,29.0,4.0,14.0,8.0,184.0,26.0,136.0,27.5
Jun 2023,491.0,377.0,114.0,23.0,8.0,19.0,21.0,82.0,25.0,62.0,12.41
Sep 2023,472.0,373.0,98.0,21.0,23.0,20.0,24.0,77.0,22.0,61.0,12.22
Dec 2023,500.0,424.0,76.0,15.0,64.0,18.0,25.0,97.0,20.0,78.0,15.74
Mar 2024,602.0,492.0,110.0,18.0,13.0,17.0,26.0,79.0,11.0,70.0,14.19
Jun 2024,524.0,423.0,100.0,19.0,10.0,16.0,27.0,68.0,25.0,51.0,10.32
Sep 2024,519.0,411.0,107.0,21.0,11.0,14.0,28.0,77.0,23.0,59.0,11.86
Dec 2024,606.0,459.0,147.0,24.0,10.0,20.0,30.0,108.0,23.0,84.0,16.86
Mar 2025,701.0,522.0,179.0,26.0,12.0,28.0,35.0,127.0,25.0,95.0,19.15
