index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,51,1901,46,930,2928,729,458,260,1481,2928
Mar 2015,51,2219,58,986,3315,978,462,370,1505,3315
Mar 2016,51,2587,80,996,3714,1137,158,706,1713,3714
Mar 2017,51,3420,98,1202,4770,1275,148,1443,1904,4770
Mar 2018,51,3523,125,1500,5199,1342,228,1246,2383,5199
Mar 2019,51,4097,113,1643,5904,1448,242,1548,2666,5904
Mar 2020,51,4405,288,1779,6523,1807,259,1186,3270,6523
Mar 2021,51,5542,331,2890,8814,4418,294,516,3586,8814
Mar 2022,51,6353,416,2675,9494,4703,225,459,4107,9494
Mar 2023,51,7161,391,2902,10505,4914,406,881,4304,10505
Mar 2024,51,8356,382,3286,12076,5451,148,2235,4242,12076
Mar 2025,51,9704,454,3803,14011,5705,129,3551,4626,14011
