index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,2507.0,2106.0,401.0,16.0,16.0,9.0,62.0,346.0,26.0,254.0,5.0
Jun 2022,3101.0,2572.0,529.0,17.0,14.0,9.0,61.0,473.0,24.0,358.0,6.96
Sep 2022,3011.0,2511.0,500.0,17.0,14.0,12.0,64.0,439.0,23.0,338.0,6.54
Dec 2022,2998.0,2502.0,496.0,17.0,7.0,15.0,69.0,419.0,27.0,308.0,5.98
Mar 2023,2689.0,2232.0,458.0,17.0,23.0,12.0,76.0,393.0,27.0,286.0,5.57
Jun 2023,3275.0,2569.0,706.0,22.0,23.0,12.0,73.0,644.0,26.0,474.0,9.21
Sep 2023,3076.0,2398.0,678.0,22.0,32.0,13.0,75.0,622.0,26.0,459.0,8.85
Dec 2023,3130.0,2388.0,742.0,24.0,37.0,13.0,79.0,687.0,26.0,511.0,10.04
Mar 2024,2902.0,2327.0,575.0,20.0,-23.0,13.0,113.0,426.0,29.0,304.0,5.91
Jun 2024,3395.0,2583.0,812.0,24.0,54.0,12.0,84.0,770.0,26.0,571.0,11.15
Sep 2024,3235.0,2467.0,768.0,24.0,57.0,12.0,88.0,725.0,25.0,540.0,10.51
Dec 2024,3369.0,2571.0,798.0,24.0,56.0,12.0,90.0,752.0,26.0,557.0,10.86
Mar 2025,3141.0,2509.0,632.0,20.0,55.0,14.0,97.0,576.0,26.0,428.0,8.3
