index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,58,2008,2175,1227,5469,3551,112,37,1769,5469
Mar 2015,58,2238,2435,1152,5883,3922,104,94,1762,5883
Mar 2016,58,2705,2515,1146,6424,4113,117,165,2029,6424
Mar 2017,58,3124,2396,1389,6968,4405,259,196,2109,6968
Mar 2018,58,3506,3142,1657,8363,5122,559,122,2561,8363
Mar 2019,58,4071,3730,2028,9888,5609,754,101,3424,9888
Mar 2020,58,4875,4135,1795,10862,6368,1393,203,2899,10862
Mar 2021,60,6796,3469,2586,12911,7827,772,417,3895,12911
Mar 2022,297,8268,3655,3544,15765,8425,1672,321,5347,15765
Mar 2023,297,10030,4478,3931,18736,10050,2406,494,5786,18736
Mar 2024,297,11182,5031,3945,20454,13242,805,527,5881,20454
Mar 2025,297,12329,4726,4205,21557,13720,811,827,6199,21557
