index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,3549.0,2601.0,948.0,27.0,7.0,36.0,132.0,788.0,23.0,606.0,20.43
Jun 2022,3895.0,2900.0,995.0,26.0,10.0,32.0,131.0,842.0,28.0,608.0,20.51
Sep 2022,3728.0,2959.0,769.0,21.0,33.0,44.0,139.0,618.0,22.0,481.0,16.23
Dec 2022,3470.0,2636.0,834.0,24.0,10.0,62.0,151.0,631.0,19.0,511.0,17.24
Mar 2023,3778.0,2846.0,932.0,25.0,22.0,66.0,155.0,733.0,23.0,562.0,18.97
Jun 2023,3338.0,2642.0,696.0,21.0,12.0,66.0,157.0,486.0,26.0,359.0,12.12
Sep 2023,3177.0,2551.0,626.0,20.0,29.0,79.0,161.0,415.0,27.0,301.0,10.15
Dec 2023,3053.0,2487.0,566.0,19.0,19.0,67.0,169.0,348.0,27.0,253.0,8.55
Mar 2024,3570.0,2874.0,696.0,19.0,23.0,90.0,186.0,443.0,5.0,422.0,14.24
Jun 2024,3464.0,2861.0,603.0,17.0,25.0,97.0,188.0,344.0,27.0,252.0,8.51
Sep 2024,3424.0,2886.0,538.0,16.0,33.0,94.0,194.0,284.0,29.0,201.0,6.79
Dec 2024,3491.0,2872.0,620.0,18.0,40.0,96.0,194.0,369.0,26.0,271.0,9.14
Mar 2025,4313.0,3356.0,957.0,22.0,34.0,89.0,195.0,707.0,26.0,526.0,17.75
