index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,86,5162,3349,4162,12759,3821,228,737,7973,12759
Mar 2015,86,5775,3281,5143,14284,4031,583,764,8906,14284
Mar 2016,86,5803,5258,5722,16869,3862,484,335,12188,16869
Mar 2017,101,7214,6443,6454,20212,4071,792,378,14971,20212
Mar 2018,102,9067,6638,7148,22955,4437,1319,1034,16165,22955
Mar 2019,102,14613,29139,18581,62435,32149,1855,708,27723,62435
Mar 2020,153,19129,29388,19758,68428,35321,2073,558,30476,68428
Mar 2021,153,20734,24519,23359,68765,34765,2117,618,31265,68765
Mar 2022,153,24508,26746,29196,80603,36193,2501,1922,39987,80603
Mar 2023,150,26708,23939,35318,86115,38713,2818,1615,42969,86115
Mar 2024,150,24657,29754,30579,85140,39056,2965,2154,40965,85140
Mar 2025,159,29054,25099,33690,88002,41015,615,2328,44044,88002
