index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,10771.0,8753.0,2018.0,19.0,30.0,485.0,407.0,1157.0,19.0,957.0,13.13,18.0
Mar 2015,12091.0,9728.0,2363.0,20.0,-11.0,517.0,425.0,1410.0,17.0,1187.0,15.82,19.0
Mar 2016,14048.0,11700.0,2348.0,17.0,149.0,704.0,676.0,1117.0,15.0,952.0,13.0,23.0
Mar 2017,16312.0,13346.0,2966.0,18.0,363.0,735.0,672.0,1922.0,10.0,1733.0,20.18,20.0
Mar 2018,17378.0,13966.0,3412.0,20.0,351.0,783.0,675.0,2305.0,12.0,2030.0,23.57,20.0
Mar 2019,21837.0,18024.0,3813.0,17.0,-197.0,963.0,880.0,1773.0,11.0,1575.0,17.35,27.0
Mar 2020,35756.0,28984.0,6772.0,19.0,-515.0,1481.0,2012.0,2764.0,21.0,2178.0,20.66,26.0
Mar 2021,38694.0,30342.0,8352.0,22.0,62.0,2060.0,2173.0,4181.0,16.0,3495.0,33.4,27.0
Mar 2022,46240.0,36711.0,9529.0,21.0,91.0,2295.0,2359.0,4966.0,11.0,4437.0,42.18,21.0
Mar 2023,53576.0,43380.0,10196.0,19.0,464.0,2963.0,2547.0,5150.0,14.0,4414.0,42.28,21.0
Mar 2024,43098.0,38801.0,4297.0,10.0,231.0,3852.0,2763.0,-2087.0,-10.0,-1878.0,-14.21,-6.0
Mar 2025,46637.0,39509.0,7128.0,15.0,78.0,3627.0,2750.0,829.0,1.0,820.0,10.62,53.0
