index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,15861.0,12481.0,3380.0,21.0,62.0,800.0,642.0,2000.0,13.0,1735.0,16.04
Jun 2022,10821.0,8675.0,2146.0,20.0,25.0,519.0,588.0,1064.0,6.0,1005.0,10.39
Sep 2022,12507.0,10090.0,2417.0,19.0,35.0,644.0,608.0,1200.0,19.0,969.0,9.64
Dec 2022,13679.0,10795.0,2884.0,21.0,129.0,894.0,624.0,1495.0,9.0,1360.0,12.87
Mar 2023,16569.0,13847.0,2722.0,16.0,302.0,906.0,727.0,1391.0,22.0,1080.0,9.38
Jun 2023,8963.0,7747.0,1216.0,14.0,58.0,700.0,636.0,-62.0,-265.0,102.0,1.97
Sep 2023,10170.0,9049.0,1121.0,11.0,18.0,871.0,657.0,-389.0,-25.0,-293.0,-2.24
Dec 2023,9887.0,9820.0,67.0,1.0,134.0,1191.0,676.0,-1666.0,-4.0,-1607.0,-14.41
Mar 2024,14078.0,12230.0,1848.0,13.0,66.0,1090.0,794.0,30.0,367.0,-80.0,0.47
Jun 2024,9067.0,7998.0,1069.0,12.0,49.0,913.0,660.0,-455.0,16.0,-527.0,-4.55
Sep 2024,11090.0,9873.0,1217.0,11.0,103.0,1070.0,697.0,-447.0,31.0,-585.0,-5.25
Dec 2024,10907.0,9229.0,1678.0,15.0,94.0,730.0,688.0,354.0,-141.0,853.0,9.81
Mar 2025,15573.0,12409.0,3164.0,20.0,-168.0,914.0,705.0,1377.0,22.0,1079.0,10.61
