index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2017,1274,-71,4347,610,6160,4341,267,26,1525,6160
Mar 2018,1564,-223,9864,4503,15709,9120,1725,87,4777,15709
Mar 2019,1564,369,11142,1582,14658,10388,743,77,3449,14658
Mar 2020,1564,793,14866,1201,18424,12554,1208,476,4186,18424
Mar 2021,1564,636,24209,2283,28692,16429,4452,502,7309,28692
Mar 2022,1564,1050,52832,3508,58954,28452,19899,574,10029,58954
Mar 2023,1584,5720,54223,5382,66909,48336,5291,1149,12133,66909
Mar 2024,1584,8250,64858,13394,88086,62284,6427,1515,17860,88086
Mar 2025,1584,10553,80040,19221,111398,79915,14479,2743,14261,111398
