index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,1461.0,489.0,972.0,67.0,111.0,667.0,274.0,142.0,15.0,121.0,0.77
Jun 2022,1635.0,687.0,948.0,58.0,66.0,458.0,280.0,276.0,21.0,214.0,1.35
Sep 2022,1584.0,718.0,866.0,55.0,100.0,498.0,298.0,170.0,14.0,149.0,0.94
Dec 2022,1971.0,1118.0,853.0,43.0,216.0,617.0,330.0,122.0,52.0,103.0,0.65
Mar 2023,2598.0,334.0,2264.0,87.0,265.0,1338.0,392.0,799.0,38.0,507.0,3.21
Jun 2023,2162.0,81.0,2081.0,96.0,178.0,1393.0,451.0,415.0,34.0,323.0,2.03
Sep 2023,2220.0,521.0,1699.0,77.0,353.0,1165.0,474.0,413.0,29.0,371.0,2.35
Dec 2023,2311.0,645.0,1666.0,72.0,264.0,1242.0,481.0,207.0,33.0,256.0,1.62
Mar 2024,2527.0,693.0,1834.0,73.0,234.0,1224.0,497.0,347.0,24.0,310.0,0.95
Jun 2024,2835.0,392.0,2443.0,86.0,219.0,1440.0,593.0,629.0,29.0,629.0,2.82
Sep 2024,3055.0,850.0,2205.0,72.0,224.0,1369.0,618.0,442.0,6.0,515.0,1.74
Dec 2024,2340.0,460.0,1880.0,80.0,280.0,1251.0,618.0,291.0,-37.0,474.0,3.11
Mar 2025,3073.0,671.0,2402.0,78.0,39.0,1368.0,663.0,410.0,29.0,383.0,1.45
