index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,2872,3671,44150,8045,58739,46365,3660,115,8599,58739
Mar 2015,2872,2853,44742,8008,58474,45080,191,357,12846,58474
Mar 2016,3334,4134,52729,15597,75794,56941,88,0,18765,75794
Mar 2017,3857,-857,52484,16027,71511,54391,125,164,16831,71511
Mar 2018,3857,-2968,52835,15804,69528,52137,120,0,17271,69528
Mar 2019,3857,3855,46980,13293,67985,50419,350,3,17213,67985
Mar 2020,3857,2624,55199,13346,75025,55846,2347,3,16830,75025
Mar 2021,3857,9256,52519,13175,78806,52851,6439,20,19495,78806
Mar 2022,3857,14600,49145,14379,81981,53274,10270,183,18254,81981
Mar 2023,3857,26019,42350,13596,85821,51451,12880,654,20836,85821
Mar 2024,3857,39288,34616,14248,92009,63016,925,374,27694,92009
Mar 2025,3857,52490,39495,17076,112918,69297,12104,1097,30418,112918
