index,0,1,2,3,4,5,6,7,8,9,10,11
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs,Dividend Payout
Mar 2014,15328.0,10735.0,4593.0,30.0,137.0,4162.0,1937.0,-1370.0,-79.0,-291.0,-1.01,0.0
Mar 2015,18683.0,14005.0,4678.0,25.0,1188.0,4864.0,1818.0,-816.0,0.0,-816.0,-2.84,0.0
Mar 2016,25377.0,16575.0,8802.0,35.0,-201.0,5560.0,2666.0,375.0,-47.0,551.0,1.65,0.0
Mar 2017,22616.0,16635.0,5980.0,26.0,-3666.0,5902.0,2672.0,-6260.0,-1.0,-6174.0,-16.01,0.0
Mar 2018,20304.0,14868.0,5436.0,27.0,754.0,5570.0,2699.0,-2079.0,-0.0,-2103.0,-5.45,0.0
Mar 2019,23884.0,18901.0,4983.0,21.0,2448.0,5657.0,2751.0,-976.0,1.0,-984.0,-2.55,0.0
Mar 2020,26468.0,20734.0,5734.0,22.0,323.0,5315.0,3006.0,-2265.0,0.0,-2275.0,-5.9,0.0
Mar 2021,26221.0,17533.0,8688.0,33.0,1909.0,5106.0,3202.0,2289.0,45.0,1270.0,3.29,0.0
Mar 2022,27711.0,17830.0,9881.0,36.0,3908.0,4095.0,3118.0,6577.0,25.0,4912.0,12.73,0.0
Mar 2023,38773.0,28677.0,10096.0,26.0,4216.0,3334.0,3304.0,7675.0,-40.0,10727.0,27.81,0.0
Mar 2024,50351.0,32124.0,18228.0,36.0,9883.0,3388.0,3931.0,20792.0,-0.0,20829.0,54.0,0.0
Mar 2025,56203.0,34898.0,21305.0,38.0,2703.0,3340.0,4309.0,16360.0,22.0,12750.0,33.55,0.0
