index,0,1,2,3,4,5,6,7,8,9,10
Unnamed 0,Sales,Expenses,Operating Profit,OPM,Other Income,Interest,Depreciation,Profit before tax,Tax,Net Profit,EPS in Rs
Mar 2022,10598.0,5366.0,5232.0,49.0,2710.0,1035.0,774.0,6133.0,24.0,4645.0,12.04
Jun 2022,13723.0,8003.0,5720.0,42.0,1786.0,823.0,816.0,5866.0,19.0,4780.0,12.39
Sep 2022,7044.0,6096.0,948.0,13.0,1402.0,818.0,833.0,699.0,0.0,696.0,1.8
Dec 2022,7764.0,6295.0,1470.0,19.0,526.0,946.0,838.0,212.0,96.0,9.0,0.02
Mar 2023,10242.0,8335.0,1907.0,19.0,553.0,746.0,817.0,898.0,-484.0,5242.0,13.59
Jun 2023,11006.0,7491.0,3514.0,32.0,7103.0,883.0,935.0,8800.0,0.0,8759.0,22.71
Sep 2023,12991.0,7819.0,5171.0,40.0,1945.0,888.0,1004.0,5224.0,-26.0,6594.0,17.1
Dec 2023,12991.0,8346.0,4645.0,36.0,364.0,797.0,1002.0,3210.0,15.0,2738.0,7.1
Mar 2024,13364.0,8514.0,4850.0,36.0,518.0,820.0,990.0,3558.0,23.0,2737.0,7.1
Jun 2024,14956.0,8761.0,6194.0,41.0,518.0,811.0,996.0,4906.0,20.0,3913.0,10.14
Sep 2024,13339.0,8063.0,5276.0,40.0,724.0,807.0,1059.0,4134.0,20.0,3298.0,8.64
Dec 2024,13671.0,8648.0,5023.0,37.0,1162.0,957.0,1170.0,4059.0,28.0,2940.0,7.93
Mar 2025,14237.0,9425.0,4813.0,34.0,298.0,765.0,1085.0,3261.0,20.0,2599.0,6.84
