index,0,1,2,3,4,5,6,7,8,9
Unnamed 0,Equity Capital,Reserves,Borrowings,Other Liabilities,Total Liabilities,Fixed Assets,CWIP,Investments,Other Assets,Total Assets
Mar 2014,723,18717,33152,35868,88460,27580,9372,6985,44523,88460
Mar 2015,723,21839,25492,38268,86322,29109,15787,7712,33714,86322
Mar 2016,656,27138,23388,35241,86422,25358,17459,9401,34203,86422
Mar 2017,1311,29508,35725,42541,109086,33684,16834,21327,37241,109086
Mar 2018,1967,34652,37659,46078,120356,45539,9875,23725,41217,120356
Mar 2019,1967,36798,44839,53322,136926,49315,13654,24907,49050,136926
Mar 2020,1967,34565,65476,48852,150860,60175,17757,27029,45900,150860
Mar 2021,2093,51462,54532,52891,160978,64098,17037,26768,53075,160978
Mar 2022,2129,49776,64534,71089,187529,83901,15433,23616,64578,187529
Mar 2023,2129,51393,69376,65210,188109,86675,16249,26778,58406,188109
Mar 2024,2136,73499,54599,72184,202418,86798,20204,26631,68785,202418
Mar 2025,4273,77112,61101,75898,218382,101775,13240,26531,76837,218382
